user_id,name,username,email,city,zipcode,company_name
1,Leanne Graham,Bret,Sincere@april.biz,Gwenborough,92998-3874,Romaguera-Crona
2,Ervin Howell,Antonette,Shanna@melissa.tv,Wisokyburgh,90566-7771,Deckow-Crist
3,Clementine Bauch,Samantha,Nathan@yesenia.net,McKenziehaven,59590-4157,Romaguera-Jacobson
4,Patricia Lebsack,Karianne,Julianne.OConner@kory.org,South Elvis,53919-4257,Robel-Corkery
5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,Roscoeview,33263,Keebler LLC
6,Mrs. Dennis Schulist,Leopoldo_Corkery,Karley_Dach@jasper.info,South Christy,23505-1337,Considine-Lockman
7,Kurtis Weissnat,Elwyn.Skiles,Telly.Hoeger@billy.biz,Howemouth,58804-1099,Johns Group
8,Nicholas Runolfsdottir V,Maxime_Nienow,Sherwood@rosamond.me,Aliyaview,45169,Abernathy Group
9,Glenna Reichert,Delphine,Chaim_McDermott@dana.io,Bartholomebury,76495-3109,Yost and Sons
10,Clementina DuBuque,Moriah.Stanton,Rey.Padberg@karina.biz,Lebsackbury,31428-2261,Hoeger LLC
